st_mun_id,cases,death,covid19,coviddeath,male,indigenous,usmer,hospital,edad,state,class
1001,2633,17,333,15,1223,4,788,197,37.83403,1,3
1002,22,0,2,0,12,0,7,7,49.81818,1,1
1003,96,1,10,0,43,3,36,4,40.041668,1,2
1004,26,0,0,0,13,0,1,2,34.46154,1,1
1005,207,1,18,0,97,0,24,16,34.874397,1,2
1006,88,0,14,0,43,0,17,7,34.136364,1,1
1007,146,0,16,0,69,2,38,8,36.267124,1,1
1008,32,0,5,0,14,1,3,2,31.5625,1,1
1009,27,0,3,0,14,0,8,5,31.629629,1,1
1010,13,0,2,0,7,0,5,2,42.615383,1,1
1011,70,0,4,0,21,0,22,10,33.642857,1,1
2001,589,33,154,20,263,11,194,135,41.067913,2,3
2002,2187,136,1126,109,1064,10,1292,697,44.679928,2,3
2003,222,17,110,13,119,2,8,88,43.752251,2,3
2004,2547,438,1422,340,1434,20,1099,1451,46.778957,2,3
2005,80,12,41,9,36,0,14,30,44.900002,2,3
3001,57,1,12,0,22,1,45,11,41.754387,3,2
3002,70,3,17,1,38,2,64,21,40.542858,3,3
3003,713,21,164,18,320,3,523,139,42.308556,3,3
3008,721,13,226,6,358,2,521,97,38.147018,3,3
3009,31,0,0,0,16,0,28,1,42.161289,3,1
4001,17,1,10,1,12,7,4,8,41.823528,4,3
4002,265,12,73,8,146,1,81,80,42.599998,4,3
4003,329,22,130,15,208,2,144,105,44.765957,4,3
4004,21,1,8,0,16,0,4,9,46.714287,4,2
4005,11,0,6,0,9,3,8,4,37.363636,4,1
4006,7,0,1,0,3,3,0,2,41.857143,4,1
4007,16,2,3,1,7,0,1,4,46.5,4,3
4008,1,0,1,0,1,0,0,0,42,4,1
4009,11,0,0,0,4,1,5,5,33.090908,4,1
4010,21,1,3,1,10,0,1,4,33.476189,4,3
4011,46,4,18,3,17,0,2,16,42.282608,4,3
5001,2,0,0,0,1,0,1,0,47,5,1
5002,246,18,13,2,108,0,2,73,41.796749,5,3
5003,31,1,1,0,14,0,6,1,42,5,2
5004,20,0,2,0,13,0,6,4,35.799999,5,1
5005,4,0,0,0,3,0,3,0,50.25,5,1
5006,59,5,11,2,28,0,40,8,39.35593,5,3
5007,120,0,13,0,57,0,44,2,34.658333,5,1
5008,6,0,2,0,4,0,2,1,54.166668,5,1
5009,48,3,2,0,29,0,7,13,40.229168,5,2
5010,214,5,39,2,101,0,117,18,42.065422,5,3
5011,7,0,1,0,4,0,1,0,36.714287,5,1
5014,4,1,1,1,1,0,0,3,61,5,3
5015,1,0,1,0,1,0,1,1,55,5,1
5016,6,0,0,0,2,0,5,1,46,5,1
5017,148,6,22,4,68,0,22,21,37.797298,5,3
5018,1150,43,250,30,538,2,799,122,40.346958,5,3
5019,8,0,2,0,5,0,1,1,40.25,5,1
5020,69,2,5,2,37,0,3,10,42.2029,5,3
5021,13,1,2,0,4,0,12,1,48.153847,5,2
5022,14,1,0,0,5,0,3,2,35.785713,5,2
5023,20,0,5,0,8,0,3,0,30.75,5,1
5024,12,0,0,0,6,0,2,2,48.5,5,1
5025,459,4,27,1,257,2,168,21,37.503269,5,3
5027,68,1,8,0,34,0,26,11,35.808823,5,2
5028,85,3,1,0,34,0,5,9,37.129414,5,2
5029,63,2,20,2,33,0,19,3,37.888889,5,3
5030,1011,25,76,4,468,2,365,164,39.776459,5,3
5031,38,3,2,1,19,0,18,4,45.13158,5,3
5032,67,2,3,0,34,0,23,8,37.238808,5,2
5033,120,5,8,0,75,0,11,35,42.224998,5,2
5034,2,0,0,0,1,0,1,2,51.5,5,1
5035,1328,16,106,3,652,1,476,141,40.208584,5,3
5036,7,1,2,0,2,0,4,3,53.42857,5,2
5037,4,0,0,0,2,0,1,0,27.5,5,1
5038,4,0,0,0,1,0,1,0,30,5,1
6001,15,1,2,1,9,0,10,8,46.733334,6,3
6002,76,3,4,0,31,0,66,21,36.75,6,2
6003,11,0,0,0,5,0,11,6,49.090908,6,1
6004,5,0,1,0,5,0,3,1,40.400002,6,1
6005,9,0,3,0,4,1,7,3,43.111111,6,1
6007,91,8,30,6,52,0,34,49,44.384617,6,3
6008,1,0,1,0,1,0,0,1,41,6,1
6009,68,3,7,0,34,1,34,33,45.779411,6,2
6010,70,4,6,0,32,1,63,16,36.900002,6,2
7001,2,0,0,0,0,0,1,1,57,7,1
7002,12,1,7,1,4,0,10,5,46.916668,7,3
7003,3,0,0,0,1,0,3,2,49.666668,7,1
7004,4,0,3,0,4,3,0,3,45,7,1
7005,1,0,0,0,1,0,1,0,24,7,1
7006,1,0,0,0,1,0,1,1,0,7,1
7008,2,0,0,0,1,0,1,0,27.5,7,1
7009,15,0,5,0,4,0,9,2,39.400002,7,1
7012,12,0,4,0,4,0,10,3,38.833332,7,1
7013,3,0,0,0,1,1,1,1,28.333334,7,1
7014,1,0,0,0,1,1,0,0,6,7,1
7015,7,1,4,1,3,0,6,1,38.57143,7,3
7016,7,0,1,0,5,0,5,0,42.42857,7,1
7017,14,1,1,0,8,1,9,4,29.214285,7,2
7018,3,0,0,0,3,0,2,0,26,7,1
7019,32,2,11,2,22,1,29,13,37.375,7,3
7020,2,1,0,0,2,0,1,1,12,7,2
7021,4,0,1,0,1,0,4,1,39.75,7,1
7023,2,1,1,1,1,2,2,1,38.5,7,3
7026,3,0,2,0,2,3,3,3,36.333332,7,1
7027,44,2,10,1,28,0,37,6,40.636364,7,3
7028,3,1,2,1,0,0,3,2,46.333332,7,3
7029,1,0,1,0,1,0,0,0,27,7,1
7030,4,0,1,0,3,0,4,3,32,7,1
7031,3,0,1,0,2,2,2,1,40.333332,7,1
7032,1,0,1,0,1,0,1,1,53,7,1
7033,1,0,0,0,1,0,1,0,5,7,1
7034,9,0,3,0,4,0,9,3,25.666666,7,1
7035,1,0,0,0,1,0,1,1,70,7,1
7036,1,0,1,0,1,0,0,1,51,7,1
7037,4,0,3,0,3,0,4,2,33.75,7,1
7040,9,1,4,0,2,0,5,2,39.555557,7,2
7041,4,1,2,1,4,0,2,1,46,7,3
7042,1,0,0,0,1,0,0,0,22,7,1
7044,1,0,0,0,1,1,1,0,38,7,1
7045,1,0,1,0,0,0,1,0,58,7,1
7046,3,0,0,0,2,0,1,1,31,7,1
7047,1,0,0,0,0,0,1,0,36,7,1
7048,5,1,2,1,2,0,3,3,39.400002,7,3
7051,1,0,0,0,1,0,1,1,47,7,1
7052,7,1,1,1,4,2,7,5,38.714287,7,3
7054,2,0,0,0,0,0,1,1,17,7,1
7055,1,0,0,0,0,0,0,0,32,7,1
7056,1,0,0,0,1,0,1,1,1,7,1
7057,7,1,4,1,5,1,0,6,45.714287,7,3
7058,1,0,1,0,0,0,1,0,19,7,1
7059,36,2,8,1,21,9,18,13,41.25,7,3
7060,2,0,0,0,1,1,2,1,31,7,1
7061,22,0,4,0,11,0,19,8,42.909092,7,1
7062,4,0,2,0,3,0,4,0,41.25,7,1
7064,2,0,0,0,1,1,2,2,19.5,7,1
7065,80,2,32,2,44,6,79,15,39.224998,7,3
7068,13,0,4,0,8,0,11,5,27.692308,7,1
7069,10,0,2,0,4,0,8,3,51.799999,7,1
7071,1,0,0,0,1,0,1,0,7,7,1
7073,1,0,0,0,1,0,1,1,3,7,1
7074,30,2,18,1,18,1,27,21,47.866665,7,3
7077,8,1,3,0,4,3,5,5,46.125,7,2
7078,106,4,47,1,59,9,85,48,41.64151,7,3
7079,10,0,3,0,4,0,7,3,34.700001,7,1
7081,5,1,1,0,0,2,2,3,13.6,7,2
7085,2,1,1,1,2,0,2,2,19,7,3
7086,6,0,1,0,4,0,3,4,27.833334,7,1
7087,2,0,0,0,2,0,1,1,34.5,7,1
7089,161,4,58,4,103,0,132,39,41.416149,7,3
7091,1,0,1,0,0,0,1,1,53,7,1
7092,9,1,3,1,3,2,9,2,32.444443,7,3
7093,1,0,0,0,1,1,1,0,45,7,1
7094,5,0,1,0,3,0,4,4,43.799999,7,1
7096,2,0,2,0,2,1,2,1,54,7,1
7097,52,1,22,1,30,0,25,4,39.423077,7,3
7098,3,0,1,0,1,0,3,1,26,7,1
7099,5,0,0,0,4,0,4,3,38.799999,7,1
7100,9,1,7,1,8,7,9,5,49.777779,7,3
7101,572,17,171,9,295,3,421,70,39.96154,7,3
7102,7,0,1,0,3,0,4,1,35.142857,7,1
7103,2,1,0,0,0,0,1,2,57,7,2
7104,2,0,0,0,2,0,1,1,35.5,7,1
7105,1,0,0,0,1,0,1,0,6,7,1
7106,20,1,11,1,10,2,6,6,42.099998,7,3
7107,3,0,1,0,1,0,2,1,44.666668,7,1
7108,20,2,7,1,17,0,16,7,40.25,7,3
7109,18,0,7,0,14,4,15,2,40.166668,7,1
7110,1,0,1,0,0,0,1,0,30,7,1
7111,2,1,0,0,1,1,1,1,4,7,2
7113,1,1,0,0,0,1,1,1,39,7,2
7114,7,0,4,0,6,3,6,5,52.285713,7,1
7116,2,0,0,0,2,0,1,1,27,7,1
8001,4,1,3,0,2,0,2,2,57,8,2
8002,7,1,1,0,4,0,6,4,34.285713,8,2
8004,1,0,0,0,0,0,1,0,29,8,1
8005,4,1,1,1,3,0,1,3,63.5,8,3
8006,6,1,5,1,2,0,3,4,48,8,3
8007,2,0,0,0,2,1,0,2,59,8,1
8008,1,0,0,0,1,1,0,1,36,8,1
8009,7,0,1,0,3,1,2,6,32.57143,8,1
8010,4,0,2,0,3,0,1,2,54.5,8,1
8011,13,3,1,1,5,0,6,9,44.53846,8,3
8012,4,0,0,0,1,4,4,4,1.75,8,1
8013,6,1,0,0,2,0,2,5,28.333334,8,2
8017,69,3,7,2,38,2,22,26,43.231884,8,3
8018,1,0,0,0,1,0,0,1,83,8,1
