POLY_ID,CVE_ENT,CVE_MUN,NOM_MUN,st_mun_id,x_cases,x_death,x_covid19,x_coviddea,x_male,x_indigeno,x_usmer,x_hospital,x_edad,x_state,x_class,R_HOSP_EBS,R_USM__EBS,R_COV__EBS,R_CFR__EBS,R_CF_EBS_1,R_SHC__EBS
"1","09","012",Tlalpan,"9012","2647","70","933","47","1322","8","956","448",42.221004000000001,"0","3",0.1700856,0.3607524,0.3517835,0.0268767,0.0533051,0.7125645
"2","09","013",Xochimilco,"9013","2048","45","614","31","979","17","662","315",41.370604999999998,"0","3",0.1548181,0.3235546,0.3011907,0.0230564,0.0557678,0.7391304
"3","09","008",La Magdalena Contreras,"9008","1236","30","278","22","536","4","213","131",40.682037000000001,"0","3",0.1125519,0.1753386,0.2337471,0.0244330,0.0739841,0.7243816
"4","09","002",Azcapotzalco,"9002","1768","61","528","45","873","3","237","429",43.093327000000002,"0","3",0.2435326,0.1369025,0.3032579,0.0353123,0.0829418,0.7071130
"5","09","014",Benito Ju�rez,"9014","1711","53","466","36","870","7","670","325",43.534191000000000,"0","3",0.1905507,0.3896244,0.2777857,0.0312325,0.0777727,0.7382075
"6","09","015",Cuauht�moc,"9015","2087","85","694","73","1098","10","624","489",44.327263000000002,"0","3",0.2352903,0.2991735,0.3331188,0.0398132,0.0923354,0.7194164
"7","09","010",�lvaro Obreg�n,"9010","2382","103","758","74","1212","9","1123","573",43.362301000000002,"0","3",0.2407820,0.4693438,0.3195466,0.0422544,0.0941432,0.7205056
"8","09","005",Gustavo A. Madero,"9005","4508","273","1529","206","2395","22","1531","1210",43.359805999999999,"0","3",0.2686182,0.3393150,0.3394835,0.0593273,0.1302501,0.7179487
"9","09","004",Cuajimalpa de Morelos,"9004","760","18","226","13","368","3","334","116",41.844738000000000,"0","3",0.1546677,0.4336067,0.2992625,0.0273693,0.0631867,0.7342657
"10","09","016",Miguel Hidalgo,"9016","1579","47","552","37","827","7","377","316",44.084865999999998,"0","3",0.2017407,0.2428963,0.3475371,0.0311178,0.0704050,0.7196738
"11","09","006",Iztacalco,"9006","1934","71","681","51","969","12","769","447",45.082729000000000,"0","3",0.2314789,0.3961611,0.3479214,0.0368956,0.0761881,0.7438753
"12","09","003",Coyoac�n,"9003","2199","59","715","43","1126","13","641","414",42.884948999999999,"0","3",0.1886106,0.2915320,0.3254512,0.0270964,0.0614661,0.7753906
